,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Time Range,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
,,1AM - 8AM,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC
,,8AM - 9AM,PIE RADIO BREAKFAST MIX,PIE RADIO BREAKFAST MIX,PIE RADIO BREAKFAST MIX,PIE RADIO BREAKFAST MIX,PIE RADIO BREAKFAST MIX,NON STOP MUSIC,THE EARLY BIRD W/ JASON
,,9AM - 10AM,,,,,,PIE RADIO BREAKFAST MIX,
,,10AM - 11AM,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,,NON STOP MUSIC
,,11AM - 12PM,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,FRANCOPHONE VIBES WITH MARION,NON STOP MUSIC
,,12PM - 1PM,RNB THROUGH US,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,WITH THE SAUCE W/ NANA & MALIBU,AFTERNOON SHOW W/ KEMOY B,NON STOP MUSIC
,,1PM - 2PM,CHATS & TRACKS W/ ESS,NON STOP MUSIC,NON STOP MUSIC,D&B W/ OWEN JEFFS,,ROSEMARY - BI WEEKLY,NON STOP MUSIC
,,2PM - 3PM,THE WEEKLY PLUG W/ KABOCANO,NON STOP MUSIC,NON STOP MUSIC,NON STOP MUSIC,,FAM FLO W/ APHRODITE,NON STOP MUSIC
,,3PM - 4PM,DEEP VIBES W/KANE,NON STOP MUSIC,SAMURAI RIFTS,ELECTRO VIBES W/ KANE,NON STOP MUSIC,NO FILTER EFFECT W/ LADY YOLA,VIBING W/ QUAN W/ DJ QUAN
,,4PM - 5PM,,NON STOP MUSIC,NON STOP MUSIC,,THE BREAKS ROOM W/ STEVEN GRIFFITHS,MELODY'S ON THE MIC W/ JZH ,
,,5PM - 6PM,NON STOP MUSIC,THE SOURCE W/ SAVAGE,EVENING SHOW W/ MELLY & BAILY,DJ DAWZ - DAWZ UNLOCKED,THE TEMPO SHOW W/ TOM SMITH ,THE R1CH ONE SHOW,
,,6PM - 7PM,FOOTBALL REVIEW SHOW FELIX ,MELODÍA INFINITA (INFINITE MELODY),,JAMIE LEORY,SESSIONS W/ SAGE,A BIT EXTRA W/ PELUMI JOY,GUEST MIX
,,7PM - 8PM,SCRATCH THE SURFACE W/ FRISSON REYS,FROM THE HIVE W/RTB ,NON STOP MUSIC,THATS THE REALITY OF IT W/ VK,NON STOP MUSIC,,
,,8PM - 9PM,,,,,,GUEST MIX,NON STOP MUSIC
,,9PM - 10PM,VIBE FLOW W/ DJ WATTEH,GUEST MIX,GUEST MIX,THE BIG BASS SHOW W/ DJ E,GUEST MIX,,
,,10PM - 11PM,,,,,,GUEST MIX,GUEST MIX
,,11PM- 12AM,GUEST MIX,GUEST MIX,GUEST MIX,GUEST MIX,GUEST MIX,,
